jugador_id,nombre,equipo_en_nuestros_datos,estado,motivo
437999,Dani Silva,Verona,necesita_revision_manual,nombre_ambiguo
323851,Daniel,San Jose Earthquakes,necesita_revision_manual,sin_candidatos_exactos
467768,Daniel Gore,Man Utd,necesita_revision_manual,sin_candidatos_exactos
404258,Daniel Peretz,Bayern Munchen,necesita_revision_manual,nombre_ambiguo
393104,Daniel Ríos,Vancouver Whitecaps,necesita_revision_manual,nombre_ambiguo
88300,Danilo,Brazil,necesita_revision_manual,nombre_ambiguo
367522,Danilo,NEC Nijmegen,necesita_revision_manual,nombre_ambiguo
64271,Danilo D'Ambrosio,Monza,necesita_revision_manual,nombre_ambiguo
94891,Danilo Pereira,Paris Saint-Germain,necesita_revision_manual,nombre_ambiguo
399250,Danilo Santos,Brazil,necesita_revision_manual,nombre_ambiguo
122972,Danny Bakker,Telstar,necesita_revision_manual,nombre_ambiguo
99165,Danny Ward,Leicester,necesita_revision_manual,nombre_ambiguo
469984,Daouda Traoré,Nice,necesita_revision_manual,nombre_ambiguo
460178,Darius Johnson,FC Volendam,necesita_revision_manual,nombre_ambiguo
389242,David Ayala,Portland Timbers,necesita_revision_manual,nombre_ambiguo
99315,David Bingham,Charlotte FC,necesita_revision_manual,nombre_ambiguo
240874,David García,Osasuna,necesita_revision_manual,nombre_ambiguo
347648,David Martínez,Inter Miami CF,necesita_revision_manual,nombre_ambiguo
373045,David Ochoa,Los Angeles FC,necesita_revision_manual,nombre_ambiguo
565868,David Santos,Bayern Munchen,necesita_revision_manual,nombre_ambiguo
432187,Demba Seck,Frosinone,necesita_revision_manual,nombre_ambiguo
528450,Deniz Gül,Turkiye,necesita_revision_manual,nombre_ambiguo
91088,Dennis Appiah,Saint-Etienne,necesita_revision_manual,nombre_ambiguo
444711,Derry John Murkin,FC Utrecht,necesita_revision_manual,sin_candidatos_exactos
448226,Diego García,Leganes,necesita_revision_manual,nombre_ambiguo
515129,Diego García,FC Dallas,necesita_revision_manual,nombre_ambiguo
554951,Diego Martín,Las Palmas,necesita_revision_manual,sin_candidatos_exactos
354089,Diego Rossi,Columbus Crew,necesita_revision_manual,nombre_ambiguo
97070,Diego Rubio,Austin FC,necesita_revision_manual,nombre_ambiguo
373842,Diogo Costa,Portugal,necesita_revision_manual,nombre_ambiguo
343029,Diogo Gonçalves,Real Salt Lake,necesita_revision_manual,nombre_ambiguo
361852,Diogo Leite,Union Berlin,necesita_revision_manual,nombre_ambiguo
492324,Diogo Nascimento,Olympiacos,necesita_revision_manual,nombre_ambiguo
10454,Djibril Sidibé,Toulouse,necesita_revision_manual,nombre_ambiguo
115097,Douglas Santos,Brazil,necesita_revision_manual,nombre_ambiguo
602896,Eder García,Athletic Club,necesita_revision_manual,nombre_ambiguo
121774,Ederson,Man City,necesita_revision_manual,nombre_ambiguo
416791,Edwin Mosquera,Atlanta United,necesita_revision_manual,nombre_ambiguo
243195,Egor Sorokin,Kairat Almaty,necesita_revision_manual,nombre_ambiguo
37684,Ehsan Hajisafi,Iran,necesita_revision_manual,sin_candidatos_exactos
602164,Elías Legendre,Rennes,necesita_revision_manual,sin_candidatos_exactos
359442,Emil Ceïde,Sassuolo,necesita_revision_manual,sin_candidatos_exactos
334533,Emil Hansson,Excelsior,necesita_revision_manual,nombre_ambiguo
568284,Emirhan Demircan,FC Utrecht,necesita_revision_manual,nombre_ambiguo
469054,Emiro Garcés,LA Galaxy,necesita_revision_manual,sin_candidatos_exactos
143526,Emmanuel Gyasi,Empoli,necesita_revision_manual,nombre_ambiguo
381504,Erencan Yardimci,Hoffenheim,necesita_revision_manual,sin_candidatos_exactos
115916,Fabinho,Brazil,necesita_revision_manual,nombre_ambiguo
344047,Fabio González,Las Palmas,necesita_revision_manual,nombre_ambiguo
128605,Federico Di Francesco,Lecce,necesita_revision_manual,nombre_ambiguo
141641,Federico San Emeterio,Cadiz,necesita_revision_manual,sin_candidatos_exactos
526962,Fellipe Jack Ozilio Moreira Pacheco,Como,necesita_revision_manual,sin_candidatos_exactos
135328,Fernando Martínez,Almeria,necesita_revision_manual,nombre_ambiguo
494586,Fernando Álvarez,CF Montreal,necesita_revision_manual,nombre_ambiguo
377182,Filip Jagiello,Genoa,necesita_revision_manual,sin_candidatos_exactos
105995,Filip Kostic,Juventus,necesita_revision_manual,nombre_ambiguo
383865,Filip Stevanovic,RKC Waalwijk,necesita_revision_manual,nombre_ambiguo
372870,Finn Becker,Hoffenheim,necesita_revision_manual,nombre_ambiguo
331197,Florian Dietz,FC Koln,necesita_revision_manual,nombre_ambiguo
474181,Fode Sylla,Lens,necesita_revision_manual,nombre_ambiguo
422764,Fodé Fofana,Vitesse,necesita_revision_manual,nombre_ambiguo
422957,Fran García,Real Madrid,necesita_revision_manual,nombre_ambiguo
67834,Francesco Caputo,Empoli,necesita_revision_manual,nombre_ambiguo
323654,Franco Negri,San Diego FC,necesita_revision_manual,nombre_ambiguo
102439,Franco Vázquez,Cremonese,necesita_revision_manual,nombre_ambiguo
114397,Fred,Brazil,necesita_revision_manual,nombre_ambiguo
322087,Fredrik Jensen,Augsburg,necesita_revision_manual,nombre_ambiguo
417722,Félix Torres,Ecuador,necesita_revision_manual,nombre_ambiguo
76810,Gabriel Paulista,Atletico,necesita_revision_manual,nombre_ambiguo
424368,Gabriel Vidovic,Bayern Munchen,necesita_revision_manual,nombre_ambiguo
432458,Gastón Álvarez,Getafe,necesita_revision_manual,nombre_ambiguo
238698,Genki Haraguchi,VfB Stuttgart,necesita_revision_manual,nombre_ambiguo
393107,George Campbell,CF Montreal,necesita_revision_manual,nombre_ambiguo
383604,George Cox,FC Volendam,necesita_revision_manual,nombre_ambiguo
248013,Georgios Kyriakopoulos,Monza,necesita_revision_manual,nombre_ambiguo
276983,Ghaylène Chaalali,Tunisia,necesita_revision_manual,sin_candidatos_exactos
40384,Giacomo Bonaventura,Fiorentina,necesita_revision_manual,nombre_ambiguo
402749,Gideon Mensah,Ghana,necesita_revision_manual,nombre_ambiguo
446129,Gilberto Flores,FC Cincinnati,necesita_revision_manual,nombre_ambiguo
550680,Gilberto Mora,Mexico,necesita_revision_manual,nombre_ambiguo
516040,Giovanni Leoni,Parma Calcio 1913,necesita_revision_manual,nombre_ambiguo
395802,Gonçalo Ramos,Portugal,necesita_revision_manual,nombre_ambiguo
422719,Guilherme Ramos,Hamburger SV,necesita_revision_manual,nombre_ambiguo
470924,Guillermo Martínez,Mexico,necesita_revision_manual,nombre_ambiguo
433247,Gustavo Velázquez,Paraguay,necesita_revision_manual,nombre_ambiguo
485295,Hadj Mahmoud,Tunisia,necesita_revision_manual,sin_candidatos_exactos
473871,Hamady Diop,San Diego FC,necesita_revision_manual,nombre_ambiguo
549425,Harbor Tarczynski-Miller,LA Galaxy,necesita_revision_manual,sin_candidatos_exactos
119642,Haris Tabakovic,Bosnia and Herzegovina,necesita_revision_manual,nombre_ambiguo
333044,Harry Wilson,Fulham,necesita_revision_manual,nombre_ambiguo
132704,Henrique,Real Valladolid,necesita_revision_manual,sin_candidatos_exactos
424769,Henrique Araújo,Benfica,necesita_revision_manual,nombre_ambiguo
101958,Hernani,Parma Calcio 1913,necesita_revision_manual,nombre_ambiguo
372677,Hernán López,San Jose Earthquakes,necesita_revision_manual,nombre_ambiguo
422717,Hiroki Ito,Japan,necesita_revision_manual,nombre_ambiguo
62108,Hiroki Sakai,Japan,necesita_revision_manual,nombre_ambiguo
83852,Hong Chul,South Korea,necesita_revision_manual,sin_candidatos_exactos
447545,Hossein Hosseini,Iran,necesita_revision_manual,nombre_ambiguo
457078,Hossein Kanani,Iran,necesita_revision_manual,sin_candidatos_exactos
409730,Hugo Bueno,Wolves,necesita_revision_manual,nombre_ambiguo
427117,Hugo González,Celta Vigo,necesita_revision_manual,nombre_ambiguo
427001,Hugo Álvarez,Celta Vigo,necesita_revision_manual,nombre_ambiguo
406536,Hussein Ali,Iraq,necesita_revision_manual,nombre_ambiguo
127571,Hwang Ui-Jo,South Korea,necesita_revision_manual,sin_candidatos_exactos
103476,Héctor Herrera,Mexico,necesita_revision_manual,nombre_ambiguo
493061,Hélio Varela,Cabo Verde,necesita_revision_manual,nombre_ambiguo
355705,Iago Borduchi,Augsburg,necesita_revision_manual,sin_candidatos_exactos
549430,Ian James,Sporting Kansas City,necesita_revision_manual,sin_candidatos_exactos
450474,Ibrahim Adel,Egypt,necesita_revision_manual,nombre_ambiguo
607607,Ibrahim Diabate,Deportivo Alaves,necesita_revision_manual,nombre_ambiguo
430306,Ibrahim Diakité,Reims,necesita_revision_manual,nombre_ambiguo
519755,Ibrahim Osman,Auxerre,necesita_revision_manual,nombre_ambiguo
442915,Ibrahim Salah,Rennes,necesita_revision_manual,nombre_ambiguo
450539,Ibrahim Sissoko,Saint-Etienne,necesita_revision_manual,nombre_ambiguo
345957,Ibrahima Konaté,France,necesita_revision_manual,nombre_ambiguo
342542,Ibrahima Niane,Angers,necesita_revision_manual,nombre_ambiguo
80464,Idrissa Gueye,Senegal,necesita_revision_manual,nombre_ambiguo
303017,Igor Silva,Lorient,necesita_revision_manual,nombre_ambiguo
526566,Ilhan Fakili,Clermont Foot,necesita_revision_manual,sin_candidatos_exactos
296723,Ionut Radu,Celta Vigo,necesita_revision_manual,nombre_ambiguo
538460,Ismael Konaté,Empoli,necesita_revision_manual,nombre_ambiguo
27356,Ismaël Traoré,Metz,necesita_revision_manual,nombre_ambiguo
508330,Israel Domínguez,Sevilla,necesita_revision_manual,sin_candidatos_exactos
418212,Ivan Basic,Bosnia and Herzegovina,necesita_revision_manual,nombre_ambiguo
278722,Iván Sánchez,Real Valladolid,necesita_revision_manual,nombre_ambiguo
323350,Iván Villar,Celta Vigo,necesita_revision_manual,nombre_ambiguo
106885,Iñigo Martínez,Barcelona,necesita_revision_manual,nombre_ambiguo
317896,Jack Harrison,Fiorentina,necesita_revision_manual,nombre_ambiguo
280210,Jack Hendry,Scotland,necesita_revision_manual,nombre_ambiguo
86594,Jack Robinson,Sheff Utd,necesita_revision_manual,nombre_ambiguo
486737,Jacob Christensen,FC Koln,necesita_revision_manual,nombre_ambiguo
318314,Jailson,Los Angeles FC,necesita_revision_manual,nombre_ambiguo
401352,Jakub Kaminski,FC Koln,necesita_revision_manual,nombre_ambiguo
4511,James Milner,Brighton,necesita_revision_manual,nombre_ambiguo
132017,Jannik Müller,Darmstadt,necesita_revision_manual,nombre_ambiguo
428593,Javi Llabrés,Mallorca,necesita_revision_manual,nombre_ambiguo
391040,Javi Martínez,Osasuna,necesita_revision_manual,nombre_ambiguo
508331,Javi Rodríguez,Celta Vigo,necesita_revision_manual,nombre_ambiguo
362276,Javi Sánchez,Real Valladolid,necesita_revision_manual,nombre_ambiguo
469332,Jayden Reid,St. Louis City,necesita_revision_manual,nombre_ambiguo
440084,Jeffinho,Lyon,necesita_revision_manual,nombre_ambiguo
576496,Jeremiah Mensah,Bayer Leverkusen,necesita_revision_manual,nombre_ambiguo
136130,Jeremías Ledesma,Cadiz,necesita_revision_manual,sin_candidatos_exactos
90310,Jesús Corona,Sevilla,necesita_revision_manual,nombre_ambiguo
447275,Jewison Bennette,Costa Rica,necesita_revision_manual,nombre_ambiguo
136904,Jhon Córdoba,Colombia,necesita_revision_manual,nombre_ambiguo
445345,Jhon Solís,Girona,necesita_revision_manual,nombre_ambiguo
320565,Joakim Nilsson,St. Louis City,necesita_revision_manual,nombre_ambiguo
125378,Joaquín Correa,Inter,necesita_revision_manual,nombre_ambiguo
365371,Joaquín Fernández,Sporting Kansas City,necesita_revision_manual,nombre_ambiguo
395377,Joe Bell,New Zealand,necesita_revision_manual,nombre_ambiguo
425059,Joe White,Newcastle,necesita_revision_manual,nombre_ambiguo
104899,John Anthony Brooks,Hoffenheim,necesita_revision_manual,sin_candidatos_exactos
108632,John Egan,Sheff Utd,necesita_revision_manual,nombre_ambiguo
27687,Johnny Russell,Real Salt Lake,necesita_revision_manual,nombre_ambiguo
115163,Jonas Hofmann,Bayer Leverkusen,necesita_revision_manual,nombre_ambiguo
92792,Jonas Martin,Brest,necesita_revision_manual,nombre_ambiguo
353565,Jonas Wind,Wolfsburg,necesita_revision_manual,nombre_ambiguo
413770,Jonathan Pérez,Nashville SC,necesita_revision_manual,nombre_ambiguo
282857,Jonathan Rodríguez,Portland Timbers,necesita_revision_manual,nombre_ambiguo
22079,Jonny Evans,Man Utd,necesita_revision_manual,nombre_ambiguo
427469,Jordan James,Rennes,necesita_revision_manual,nombre_ambiguo
422964,Jorge Moreno,Osasuna,necesita_revision_manual,nombre_ambiguo
447643,Jorge Sánchez,Mexico,necesita_revision_manual,nombre_ambiguo
106968,Jorginho,Arsenal,necesita_revision_manual,nombre_ambiguo
74603,Joselu,Real Madrid,necesita_revision_manual,nombre_ambiguo
320713,Joseph Aidoo,Celta Vigo,necesita_revision_manual,nombre_ambiguo
81026,Joshua King,Toulouse,necesita_revision_manual,nombre_ambiguo
279698,José Arnáiz,Osasuna,necesita_revision_manual,sin_candidatos_exactos
91214,José Campaña,Las Palmas,necesita_revision_manual,nombre_ambiguo
135321,José Luis Morales,Levante,necesita_revision_manual,nombre_ambiguo
293996,José Machín,Monza,necesita_revision_manual,sin_candidatos_exactos
118481,José Mari Martín,Cadiz,necesita_revision_manual,sin_candidatos_exactos
402092,José Salinas,Espanyol,necesita_revision_manual,nombre_ambiguo
369557,Jota,Rennes,necesita_revision_manual,nombre_ambiguo
504418,João Costa,Roma,necesita_revision_manual,nombre_ambiguo
380681,João Ferreira,Udinese,necesita_revision_manual,nombre_ambiguo
362431,João Félix,Portugal,necesita_revision_manual,nombre_ambiguo
403693,João Gomes,Wolves,necesita_revision_manual,nombre_ambiguo
125476,João Mário,Portugal,necesita_revision_manual,nombre_ambiguo
431439,João Paulo,Cabo Verde,necesita_revision_manual,nombre_ambiguo
104866,João Paulo,Seattle Sounders FC,necesita_revision_manual,nombre_ambiguo
96566,Juan Cruz,Osasuna,necesita_revision_manual,nombre_ambiguo
357786,Juan Cruz,Leganes,necesita_revision_manual,nombre_ambiguo
84603,Juan Jesus,Napoli,necesita_revision_manual,nombre_ambiguo
446158,Juan Vargas,Costa Rica,necesita_revision_manual,nombre_ambiguo
140803,Juanpe,Girona,necesita_revision_manual,nombre_ambiguo
141845,Jubal,Auxerre,necesita_revision_manual,nombre_ambiguo
141556,Julian Brandt,Borussia Dortmund,necesita_revision_manual,nombre_ambiguo
142318,Julian Weigl,Borussia M.Gladbach,necesita_revision_manual,nombre_ambiguo
294502,Julien Laporte,Lorient,necesita_revision_manual,nombre_ambiguo
605436,Julio Díaz,Atletico,necesita_revision_manual,nombre_ambiguo
432407,Julián Fernández,New York City FC,necesita_revision_manual,nombre_ambiguo
527718,Junior Ajayi,Verona,necesita_revision_manual,nombre_ambiguo
455459,Junior Diaz,Brest,necesita_revision_manual,nombre_ambiguo
370255,Junya Ito,Japan,necesita_revision_manual,nombre_ambiguo
422741,Justin Smith,Espanyol,necesita_revision_manual,nombre_ambiguo
41868,Jóhann Gudmundsson,Burnley,necesita_revision_manual,nombre_ambiguo
412349,Kacper Kozlowski,Vitesse,necesita_revision_manual,sin_candidatos_exactos
414593,Kacper Urbanski,Monza,necesita_revision_manual,nombre_ambiguo
416798,Kaiky,Almeria,necesita_revision_manual,nombre_ambiguo
467072,Kassoum Ouattara,Monaco,necesita_revision_manual,nombre_ambiguo
416803,Kayky,Sparta Rotterdam,necesita_revision_manual,nombre_ambiguo
471074,Keegan Hughes,New England Revolution,necesita_revision_manual,nombre_ambiguo
132838,Kenedy,Real Valladolid,necesita_revision_manual,nombre_ambiguo
82917,Kenny McLean,Scotland,necesita_revision_manual,nombre_ambiguo
402679,Kevin Medina,Qarabag FK,necesita_revision_manual,nombre_ambiguo
136812,Kevin Müller,FC Heidenheim,necesita_revision_manual,nombre_ambiguo
72266,Kevin Vogt,Union Berlin,necesita_revision_manual,nombre_ambiguo
279512,Kevin Vázquez,Celta Vigo,necesita_revision_manual,nombre_ambiguo
510854,Kofi Amoako,Wolfsburg,necesita_revision_manual,nombre_ambiguo
123947,Koka,Le Havre,necesita_revision_manual,sin_candidatos_exactos
70149,Konstantinos Manolas,Salernitana,necesita_revision_manual,nombre_ambiguo
395381,Kornelius Hansen,Almere City FC,necesita_revision_manual,sin_candidatos_exactos
493169,Kwon Hyeok-Kyu,Nantes,necesita_revision_manual,sin_candidatos_exactos
371018,Kyle Smith,Orlando City,necesita_revision_manual,nombre_ambiguo
404245,Ladislav Krejcí,Czechia,necesita_revision_manual,nombre_ambiguo
308754,Lazaros Lamprou,Excelsior,necesita_revision_manual,sin_candidatos_exactos
364232,Lewis Morgan,Red Bull New York,necesita_revision_manual,nombre_ambiguo
135481,Liam Henderson,Empoli,necesita_revision_manual,nombre_ambiguo
148546,Lorenzo Pellegrini,Roma,necesita_revision_manual,nombre_ambiguo
471043,Lorran,Pisa,necesita_revision_manual,nombre_ambiguo
366981,Luca Orellano,FC Cincinnati,necesita_revision_manual,nombre_ambiguo
365410,Lucas Beltrán,Valencia,necesita_revision_manual,nombre_ambiguo
375340,Lucas Perrin,Strasbourg,necesita_revision_manual,nombre_ambiguo
135663,Lucas Pérez,PSV Eindhoven,necesita_revision_manual,nombre_ambiguo
517097,Lucas Sanabria,LA Galaxy,necesita_revision_manual,nombre_ambiguo
144511,Lucas Vázquez,Bayer Leverkusen,necesita_revision_manual,nombre_ambiguo
142312,Lucho Acosta,FC Dallas,necesita_revision_manual,sin_candidatos_exactos
376150,Luis Barraza,DC United,necesita_revision_manual,nombre_ambiguo
447642,Luis Chávez,Mexico,necesita_revision_manual,nombre_ambiguo
377168,Luis Díaz,Colombia,necesita_revision_manual,nombre_ambiguo
378710,Luis Díaz,New England Revolution,necesita_revision_manual,nombre_ambiguo
